rank,selected,objective_profile,objective_score,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,activation_prec,kv_bits,active_params_B,total_params_B,architecture_family,attention_type,mla_kv_latent,mla_q_latent,nsa_select_top_k,nsa_window,csa_block,csa_top_k,csa_dim,indexshare_buckets,indexshare_top_k,indexshare_dim,msa_window,msa_dilated_top_k,msa_global_top_k,yoco_self_attn_layers,yoco_share_pattern,cp,cp_method,rope_method,rope_factor,mtp_depth,tp,pp,dp,state_layers,attention_layers,placement_strategy,local_attn_layers,local_window,moe_style,n_experts,top_k,expert_dim,ep,vocab_size,predicted_loss,loss_ci_low,loss_ci_high,uncertainty_total_pct,training_tps,training_tps_per_gpu,serving_tbt_ms,serving_ttft_ms,training_memory_gb,memory_gb,confidence
1167,False,serving_cost,18.92247322,8192,43,64,192,64,21888,bf16,bf16,bf16,8,32.1275,32.1275,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,43,none,0,0,dense,0,0,0,1,256000,1.9198,1.7646,2.0751,8.08,4068,4068,164.8,66474.5,70.4,832.3,medium
1168,False,serving_cost,18.96202747,8192,45,32,192,32,21888,fp8,fp8,bf16,16,31.303352,31.303352,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,45,none,0,0,dense,0,0,0,1,256000,1.9646,1.8027,2.1265,8.24,8222,8222,208.5,34945.2,61.7,917.0,medium
1169,False,serving_cost,18.97897858,7168,58,56,192,56,19072,bf16,fp8,bf16,8,30.868419,30.868419,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,58,none,0,0,dense,0,0,0,1,128256,1.9206,1.7651,2.0761,8.10,5132,5132,156.5,73345.3,62.1,816.3,medium
1170,False,serving_cost,18.98162285,8192,44,32,192,32,21888,bf16,fp8,bf16,16,30.700929,30.700929,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,44,none,0,0,dense,0,0,0,1,256000,1.9232,1.7677,2.0786,8.08,7730,7730,209.4,34699.0,62.3,913.7,medium
1171,False,serving_cost,19.01556894,7168,58,56,192,56,19072,bf16,fp8,bf16,8,32.699757,32.699757,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,58,none,0,0,dense,0,0,0,1,256000,1.9130,1.7581,2.0679,8.10,5131,5131,156.6,73386.6,65.5,819.7,medium
1172,False,serving_cost,19.03372158,7168,52,56,128,28,18944,bf16,bf16,bf16,8,31.038071,31.038071,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,52,none,0,0,dense,0,0,0,1,128256,1.9116,1.7583,2.0648,8.02,17415,4354,264.4,10358.5,16.9,535.4,medium
1173,False,serving_cost,19.05990930,7168,52,56,128,28,18944,bf16,bf16,bf16,8,32.869409,32.869409,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,52,none,0,0,dense,0,0,0,1,256000,1.9040,1.7513,2.0566,8.02,17414,4353,264.5,10362.1,17.8,536.3,medium
1174,False,serving_cost,19.13709064,9216,31,72,192,72,24576,bf16,bf16,bf16,16,29.970119,29.970119,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,31,none,0,0,dense,0,0,0,1,256000,1.9665,1.8069,2.1261,8.12,4635,4635,182.6,55210.7,66.6,884.2,medium
1175,False,serving_cost,19.18944739,13824,13,216,64,72,36864,bf16,fp8,bf16,4,27.384708,27.384708,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,13,none,0,0,dense,0,0,0,1,32000,2.5100,2.2437,2.7764,10.61,8406,8406,211.1,29225.2,59.2,1087.9,low
1176,False,serving_cost,19.33505852,8192,44,64,192,64,21888,bf16,bf16,bf16,8,30.684152,30.684152,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,44,none,0,0,dense,0,0,0,1,128256,1.9250,1.7694,2.0807,8.08,3976,3976,168.9,68063.0,67.8,836.7,medium
1177,False,serving_cost,19.34591664,13824,10,216,64,108,36864,fp8,fp8,bf16,4,28.099492,28.099492,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,10,none,0,0,dense,0,0,0,1,256000,2.6216,2.3033,2.9400,12.14,12573,12573,225.0,21852.3,57.9,1069.7,low
1178,False,serving_cost,19.35764960,7168,59,56,192,56,19072,bf16,fp8,bf16,8,33.200269,33.200269,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,59,none,0,0,dense,0,0,0,1,256000,1.9126,1.7578,2.0675,8.10,5044,5044,159.6,74726.9,66.4,826.2,medium
1179,False,serving_cost,19.35777306,7168,54,56,128,28,18944,bf16,fp8,bf16,8,32.161124,32.161124,dense,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,4,1,8,0,54,none,0,0,dense,0,0,0,1,128256,1.9142,1.7604,2.0679,8.03,22362,5590,269.2,10083.1,16.2,546.7,medium
1180,False,serving_cost,19.37665813,8192,44,64,192,64,21888,bf16,bf16,bf16,8,32.77711,32.77711,dense,mla,512,1536,0,0,0,0,0,0,0,0,0,0,0,0,single_source,1,ring,none,1.0000,0,1,1,8,0,44,none,0,0,dense,0,0,0,1,256000,1.9176,1.7626,2.0727,8.08,3976,3976,169.0,68104.6,71.7,840.6,medium
