rank,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,weight_prec,ffn_prec,kv_bits,active_params_B,total_params_B,moe_style,n_experts,top_k,expert_dim,ep,predicted_loss,training_tps,serving_tbt_ms,memory_gb,confidence
197,9216,6,72,128,72,24576,bf16,fp8,8,4.67,36.26,fine,128,4,1536,2,2.0989,43521,1.5,2.9,medium
198,9216,6,72,128,72,24576,bf16,fp8,8,4.67,36.26,fine,128,4,1536,4,2.0989,42099,1.5,2.0,medium
199,9216,6,72,128,72,24576,bf16,fp8,8,4.67,36.26,fine,128,4,1536,8,2.0989,41010,1.5,1.5,medium
200,6144,14,96,64,12,16384,bf16,fp8,16,5.81,5.81,dense,0,0,0,1,2.0990,32101,2.6,1.0,low
201,6144,11,48,128,12,16384,bf16,bf16,16,4.75,4.75,dense,0,0,0,1,2.0994,21239,2.5,1.6,high
202,6144,12,48,128,24,16384,bf16,fp8,16,5.38,5.38,dense,0,0,0,1,2.1001,36267,2.6,1.3,medium
203,4608,23,72,64,1,12288,bf16,fp8,16,5.19,5.19,dense,0,0,0,1,2.1009,29825,3.9,0.7,medium
204,6144,13,48,128,12,16384,bf16,fp8,8,5.55,5.55,dense,0,0,0,1,2.1023,34464,2.4,0.9,medium
205,6144,12,96,64,12,16384,bf16,bf16,16,5.04,5.04,dense,0,0,0,1,2.1030,19502,2.6,1.5,medium
206,6144,12,48,128,12,16384,bf16,fp8,16,5.15,5.15,dense,0,0,0,1,2.1050,37311,2.3,1.0,medium
207,4608,22,72,64,1,12288,bf16,fp8,16,4.98,4.98,dense,0,0,0,1,2.1054,31173,3.7,0.7,medium
208,6144,14,96,64,12,16384,bf16,fp8,8,5.81,5.81,dense,0,0,0,1,2.1091,32101,2.5,0.9,low
209,6144,11,48,128,12,16384,bf16,bf16,8,4.75,4.75,dense,0,0,0,1,2.1095,21239,2.4,1.5,high
210,4608,21,72,64,1,12288,bf16,fp8,16,4.77,4.77,dense,0,0,0,1,2.1103,32649,3.5,0.7,medium
211,6144,13,96,64,12,16384,bf16,fp8,16,5.42,5.42,dense,0,0,0,1,2.1103,34550,2.4,0.9,low
212,6144,10,48,128,24,16384,bf16,bf16,16,4.55,4.55,dense,0,0,0,1,2.1112,22728,2.5,1.8,high
213,6144,11,48,128,24,16384,bf16,fp8,16,4.96,4.96,dense,0,0,0,1,2.1147,39534,2.4,1.2,medium
214,6144,12,48,128,12,16384,bf16,fp8,8,5.15,5.15,dense,0,0,0,1,2.1151,37311,2.2,0.9,medium
215,6144,10,48,128,12,16384,bf16,bf16,16,4.36,4.36,dense,0,0,0,1,2.1161,23351,2.2,1.5,high
216,6144,11,96,64,12,16384,bf16,bf16,16,4.65,4.65,dense,0,0,0,1,2.1176,21267,2.4,1.4,medium
217,6144,11,48,128,12,16384,bf16,fp8,16,4.75,4.75,dense,0,0,0,1,2.1196,40671,2.1,0.9,medium
218,4608,21,72,64,1,12288,bf16,fp8,8,4.77,4.77,dense,0,0,0,1,2.1204,32649,3.5,0.7,medium
219,6144,13,96,64,12,16384,bf16,fp8,8,5.42,5.42,dense,0,0,0,1,2.1204,34550,2.3,0.8,low
220,6144,14,48,128,1,16384,bf16,fp8,16,5.7,5.7,dense,0,0,0,1,2.1217,32168,2.7,0.8,low
221,6144,12,96,64,12,16384,bf16,fp8,16,5.04,5.04,dense,0,0,0,1,2.1232,37404,2.2,0.8,low
222,6144,10,48,128,12,16384,bf16,bf16,8,4.36,4.36,dense,0,0,0,1,2.1263,23351,2.2,1.4,high
