rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
169,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632,high,4.0,False,architecture,1.949,8,4096,34,32,128,1,13632,bf16,16,7.13,2.0642,11514,6.23,34.79,1.83,0.017,medium
170,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744,high,4.5,False,architecture,1.956,8,4096,30,32,128,1,15744,bf16,16,7.1,2.0643,12030,5.64,33.23,1.83,0.015,medium
171,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040,high,3.25,False,architecture,1.968,8,4096,31,32,128,1,15040,bf16,16,7.06,2.0645,11953,5.78,33.46,1.82,0.015,medium
172,False,False,n_layers: 32 -> 30; ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.5,False,precision,1.976,8,4096,30,32,128,8,12928,fp8,8,6.29,2.0647,24784,4.87,15.42,0.87,0.059,high
173,False,False,n_kv_heads: 8 -> 1,medium,2.0,False,architecture,1.995,8,4096,32,32,128,1,14336,bf16,16,7.01,2.0651,11898,5.91,33.64,1.8,0.016,medium
174,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632,high,3.25,False,architecture,2.037,8,4096,33,32,128,1,13632,bf16,16,6.93,2.0659,11863,6.05,33.76,1.79,0.016,medium
175,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; kv_cache_bits: 16 -> 8,high,5.0,False,precision,2.065,8,4096,34,32,128,1,15744,bf16,8,8.02,2.0665,10617,6.34,37.66,2.03,0.008,medium
176,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040,high,4.0,False,architecture,2.077,8,4096,30,32,128,1,15040,bf16,16,6.84,2.0667,12351,5.59,32.38,1.76,0.015,medium
177,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1,high,2.75,False,architecture,2.096,8,4096,31,32,128,1,14336,bf16,16,6.8,2.0671,12281,5.73,32.59,1.75,0.015,medium
178,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632,medium,2.5,False,architecture,2.132,8,4096,32,32,128,1,13632,bf16,16,6.73,2.0679,12233,5.86,32.74,1.74,0.016,medium
179,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; kv_cache_bits: 16 -> 8,high,4.25,False,precision,2.152,8,4096,33,32,128,1,15744,bf16,8,7.79,2.0683,10938,6.15,36.55,1.98,0.008,medium
180,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; kv_cache_bits: 16 -> 8,high,4.5,False,precision,2.184,8,4096,34,32,128,1,15040,bf16,8,7.72,2.0689,10900,6.29,36.7,1.96,0.008,medium
181,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928,high,3.75,False,architecture,2.185,8,4096,33,32,128,1,12928,bf16,16,6.65,2.0689,12206,6.0,32.83,1.72,0.016,medium
182,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1,high,3.5,False,architecture,2.206,8,4096,30,32,128,1,14336,bf16,16,6.59,2.0693,12689,5.54,31.54,1.7,0.015,medium
183,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632,high,3.25,False,architecture,2.234,8,4096,31,32,128,1,13632,bf16,16,6.53,2.0699,12626,5.68,31.72,1.69,0.015,medium
184,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; kv_cache_bits: 16 -> 8,high,3.5,False,precision,2.246,8,4096,32,32,128,1,15744,bf16,8,7.56,2.0702,11280,5.96,35.44,1.92,0.008,medium
185,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; kv_cache_bits: 16 -> 8,high,3.75,False,precision,2.271,8,4096,33,32,128,1,15040,bf16,8,7.5,2.0707,11230,6.1,35.62,1.91,0.008,medium
186,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928,high,3.0,False,architecture,2.28,8,4096,32,32,128,1,12928,bf16,16,6.45,2.0709,12587,5.82,31.84,1.67,0.016,medium
187,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,4.0,False,precision,2.311,8,4096,34,32,128,1,14336,bf16,8,7.43,2.0715,11199,6.23,35.74,1.89,0.008,medium
188,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632,high,4.0,False,architecture,2.345,8,4096,30,32,128,1,13632,bf16,16,6.33,2.0722,13046,5.5,30.69,1.64,0.015,medium
189,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; kv_cache_bits: 16 -> 8,high,4.25,False,precision,2.347,8,4096,31,32,128,1,15744,bf16,8,7.33,2.0722,11643,5.78,34.33,1.87,0.008,medium
190,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; kv_cache_bits: 16 -> 8,high,3.0,False,precision,2.365,8,4096,32,32,128,1,15040,bf16,8,7.28,2.0726,11580,5.92,34.54,1.86,0.008,medium
191,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928,high,3.75,False,architecture,2.383,8,4096,31,32,128,1,12928,bf16,16,6.26,2.0729,12992,5.63,30.84,1.63,0.015,medium
192,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,3.25,False,precision,2.399,8,4096,33,32,128,1,14336,bf16,8,7.22,2.0733,11538,6.05,34.69,1.84,0.008,medium
193,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; kv_cache_bits: 16 -> 8,high,4.5,False,precision,2.449,8,4096,34,32,128,1,13632,bf16,8,7.13,2.0743,11514,6.18,34.79,1.83,0.008,medium
194,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; kv_cache_bits: 16 -> 8,high,5.0,False,precision,2.456,8,4096,30,32,128,1,15744,bf16,8,7.1,2.0744,12030,5.59,33.23,1.82,0.007,medium
195,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; kv_cache_bits: 16 -> 8,high,3.75,False,precision,2.467,8,4096,31,32,128,1,15040,bf16,8,7.06,2.0746,11953,5.73,33.46,1.81,0.008,medium
196,False,False,n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,2.494,8,4096,32,32,128,1,14336,bf16,8,7.01,2.0752,11898,5.87,33.64,1.8,0.008,medium
197,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; kv_cache_bits: 16 -> 8,high,3.75,False,precision,2.537,8,4096,33,32,128,1,13632,bf16,8,6.93,2.0761,11863,6.0,33.76,1.78,0.008,medium
198,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8,high,5.0,False,precision,2.562,8,4096,34,32,128,1,15744,fp8,16,8.02,2.0766,19918,5.67,19.14,1.03,0.017,medium
199,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; kv_cache_bits: 16 -> 8,high,4.5,False,precision,2.576,8,4096,30,32,128,1,15040,bf16,8,6.84,2.0769,12351,5.55,32.38,1.76,0.007,medium
200,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,3.25,False,precision,2.596,8,4096,31,32,128,1,14336,bf16,8,6.8,2.0772,12281,5.68,32.59,1.75,0.008,medium
201,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; kv_cache_bits: 16 -> 8,high,3.0,False,precision,2.632,8,4096,32,32,128,1,13632,bf16,8,6.73,2.078,12233,5.82,32.74,1.73,0.008,medium
202,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8,high,4.25,False,precision,2.65,8,4096,33,32,128,1,15744,fp8,16,7.79,2.0783,20520,5.51,18.58,1.0,0.016,medium
203,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8,high,4.5,False,precision,2.682,8,4096,34,32,128,1,15040,fp8,16,7.72,2.079,20390,5.65,18.73,0.99,0.017,medium
204,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928; kv_cache_bits: 16 -> 8,high,4.25,False,precision,2.685,8,4096,33,32,128,1,12928,bf16,8,6.65,2.0791,12206,5.95,32.83,1.71,0.008,medium
205,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; kv_cache_bits: 16 -> 8,high,4.0,False,precision,2.706,8,4096,30,32,128,1,14336,bf16,8,6.59,2.0795,12689,5.5,31.54,1.7,0.007,medium
206,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; kv_cache_bits: 16 -> 8,high,3.75,False,precision,2.735,8,4096,31,32,128,1,13632,bf16,8,6.53,2.0801,12626,5.64,31.72,1.68,0.008,medium
207,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8,high,3.5,False,precision,2.744,8,4096,32,32,128,1,15744,fp8,16,7.56,2.0802,21159,5.34,18.02,0.97,0.016,medium
208,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8,high,3.75,False,precision,2.77,8,4096,33,32,128,1,15040,fp8,16,7.5,2.0808,21006,5.48,18.17,0.97,0.016,medium
209,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928; kv_cache_bits: 16 -> 8,high,3.5,False,precision,2.781,8,4096,32,32,128,1,12928,bf16,8,6.45,2.081,12587,5.77,31.84,1.67,0.008,medium
210,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,4.0,False,precision,2.81,8,4096,34,32,128,1,14336,fp8,16,7.43,2.0816,20884,5.62,18.31,0.96,0.017,medium
211,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8,high,4.25,False,precision,2.845,8,4096,31,32,128,1,15744,fp8,16,7.33,2.0823,21839,5.17,17.45,0.95,0.015,medium
212,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; kv_cache_bits: 16 -> 8,high,4.5,False,precision,2.846,8,4096,30,32,128,1,13632,bf16,8,6.33,2.0823,13046,5.45,30.69,1.64,0.007,medium
213,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8,high,3.0,False,precision,2.864,8,4096,32,32,128,1,15040,fp8,16,7.28,2.0827,21660,5.32,17.62,0.94,0.016,medium
214,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928; kv_cache_bits: 16 -> 8,high,4.25,False,precision,2.885,8,4096,31,32,128,1,12928,bf16,8,6.26,2.0831,12992,5.59,30.84,1.62,0.008,medium
215,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,3.25,False,precision,2.898,8,4096,33,32,128,1,14336,fp8,16,7.22,2.0834,21515,5.46,17.77,0.93,0.016,medium
216,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8,high,4.5,False,precision,2.948,8,4096,34,32,128,1,13632,fp8,16,7.13,2.0844,21403,5.59,17.89,0.93,0.017,medium
217,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8,high,5.0,False,precision,2.955,8,4096,30,32,128,1,15744,fp8,16,7.1,2.0845,22565,5.01,16.89,0.92,0.015,medium
218,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8,high,3.75,False,precision,2.966,8,4096,31,32,128,1,15040,fp8,16,7.06,2.0847,22356,5.15,17.07,0.92,0.015,medium
219,False,False,n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,2.994,8,4096,32,32,128,1,14336,fp8,16,7.01,2.0853,22185,5.29,17.23,0.91,0.016,medium
220,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8,high,3.75,False,precision,3.037,8,4096,33,32,128,1,13632,fp8,16,6.93,2.0862,22050,5.43,17.37,0.9,0.016,medium
221,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,5.5,False,precision,3.06,8,4096,34,32,128,1,15744,fp8,8,8.02,2.0866,19918,5.62,19.14,1.02,0.008,medium
222,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8,high,4.5,False,precision,3.076,8,4096,30,32,128,1,15040,fp8,16,6.84,2.087,23099,4.98,16.52,0.89,0.015,medium
223,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,3.25,False,precision,3.096,8,4096,31,32,128,1,14336,fp8,16,6.8,2.0874,22898,5.13,16.69,0.88,0.015,medium
224,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8,high,3.0,False,precision,3.132,8,4096,32,32,128,1,13632,fp8,16,6.73,2.0881,22736,5.27,16.84,0.88,0.016,medium
225,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.75,False,precision,3.147,8,4096,33,32,128,1,15744,fp8,8,7.79,2.0884,20520,5.46,18.58,0.99,0.008,medium
226,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,5.0,False,precision,3.18,8,4096,34,32,128,1,15040,fp8,8,7.72,2.0891,20390,5.6,18.73,0.99,0.008,medium
227,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8,high,4.25,False,precision,3.186,8,4096,33,32,128,1,12928,fp8,16,6.65,2.0892,22611,5.41,16.96,0.87,0.016,medium
228,False,False,n_layers: 32 -> 30; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8,high,4.0,False,precision,3.207,8,4096,30,32,128,1,14336,fp8,16,6.59,2.0896,23659,4.96,16.16,0.86,0.015,medium
229,False,False,n_layers: 32 -> 31; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 13632; ffn_precision: bf16 -> fp8,high,3.75,False,precision,3.236,8,4096,31,32,128,1,13632,fp8,16,6.53,2.0902,23467,5.1,16.32,0.85,0.015,medium
230,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15744; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.0,False,precision,3.242,8,4096,32,32,128,1,15744,fp8,8,7.56,2.0903,21159,5.29,18.02,0.97,0.008,medium
231,False,False,n_layers: 32 -> 33; n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 15040; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.25,False,precision,3.268,8,4096,33,32,128,1,15040,fp8,8,7.5,2.0909,21006,5.43,18.17,0.96,0.008,medium
232,False,False,n_kv_heads: 8 -> 1; ffn_dim: 14336 -> 12928; ffn_precision: bf16 -> fp8,high,3.5,False,precision,3.282,8,4096,32,32,128,1,12928,fp8,16,6.45,2.0911,23315,5.24,16.45,0.85,0.016,medium
233,False,False,n_layers: 32 -> 34; n_kv_heads: 8 -> 1; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,4.5,False,precision,3.308,8,4096,34,32,128,1,14336,fp8,8,7.43,2.0917,20884,5.57,18.31,0.95,0.008,medium
