rank,selected,is_baseline,changes,risk_label,risk_score,quality_preserving,move_class,quality_risk_pct,tp,d_model,n_layers,n_heads,d_head,n_kv_heads,ffn_dim,ffn_precision,kv_bits,params_B,predicted_loss,training_tps,serving_tbt_ms,serving_ttft_ms,memory_gb,kv_cache_gb,confidence
165,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,1.75,False,precision,12.302,8,4096,35,64,64,8,10944,fp8,16,7.67,2.0725,22519,5.59,16.79,1.04,0.068,medium
166,False,False,n_layers: 36 -> 38; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.302,8,4096,38,64,64,8,12096,fp8,8,8.72,2.0725,19899,6.09,18.99,1.13,0.037,medium
167,False,False,ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,12.313,8,4096,36,64,64,8,12672,fp8,8,8.6,2.0727,20549,5.79,18.35,1.11,0.035,medium
168,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 16; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.25,False,precision,12.349,8,4096,34,64,64,16,10368,fp8,16,7.4,2.0734,23641,5.47,15.97,1.07,0.133,high
169,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.375,8,4096,37,64,64,8,12096,fp8,8,8.53,2.0739,20426,5.93,18.49,1.11,0.036,medium
170,False,False,ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,1.5,False,precision,12.389,8,4096,36,64,64,8,10368,fp8,16,7.58,2.0741,22401,5.73,16.91,1.03,0.07,medium
171,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8,medium,2.5,False,precision,12.394,8,4096,34,64,64,8,10944,fp8,16,7.49,2.0742,23167,5.43,16.31,1.02,0.066,medium
172,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,2.75,False,precision,12.397,8,4096,35,64,64,8,12672,fp8,8,8.41,2.0743,21124,5.63,17.84,1.09,0.034,medium
173,False,False,n_layers: 36 -> 38; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,12.452,8,4096,38,64,64,8,11520,fp8,8,8.45,2.0753,20329,6.07,18.61,1.1,0.037,medium
174,False,False,ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,12.454,8,4096,36,64,64,8,12096,fp8,8,8.35,2.0753,20982,5.77,17.99,1.09,0.035,medium
175,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,medium,2.25,False,precision,12.475,8,4096,35,64,64,8,10368,fp8,16,7.42,2.0757,23026,5.57,16.44,1.01,0.068,medium
176,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12672; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.5,False,precision,12.488,8,4096,34,64,64,8,12672,fp8,8,8.22,2.0759,21732,5.47,17.33,1.07,0.033,medium
177,False,False,n_layers: 36 -> 37; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,12.526,8,4096,37,64,64,8,11520,fp8,8,8.27,2.0766,20867,5.91,18.12,1.08,0.036,medium
178,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.539,8,4096,35,64,64,8,12096,fp8,8,8.16,2.0769,21569,5.61,17.49,1.06,0.034,medium
179,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,4.5,False,architecture,12.546,8,4096,38,64,64,1,12672,bf16,16,8.85,2.077,10625,6.8,37.42,2.23,0.009,medium
180,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8,high,3.0,False,precision,12.567,8,4096,34,64,64,8,10368,fp8,16,7.25,2.0774,23688,5.41,15.97,0.99,0.066,medium
181,False,False,ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,low,1.0,False,precision,12.605,8,4096,36,64,64,8,11520,fp8,8,8.09,2.0781,21435,5.75,17.63,1.06,0.035,medium
182,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.75,False,architecture,12.619,8,4096,37,64,64,1,12672,bf16,16,8.66,2.0784,10909,6.62,36.44,2.18,0.009,medium
183,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 12096; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.63,8,4096,34,64,64,8,12096,fp8,8,7.98,2.0786,22190,5.45,16.99,1.04,0.033,medium
184,False,False,n_layers: 36 -> 37; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.686,8,4096,37,64,64,8,10944,fp8,8,8.01,2.0796,21327,5.88,17.75,1.05,0.036,medium
185,False,False,n_layers: 36 -> 35; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.75,False,precision,12.69,8,4096,35,64,64,8,11520,fp8,8,7.91,2.0797,22034,5.59,17.14,1.03,0.034,medium
186,False,False,n_layers: 36 -> 38; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,4.0,False,architecture,12.691,8,4096,38,64,64,1,12096,bf16,16,8.58,2.0797,10883,6.75,36.55,2.16,0.009,medium
187,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.0,False,architecture,12.698,8,4096,36,64,64,1,12672,bf16,16,8.47,2.0798,11209,6.44,35.45,2.14,0.009,medium
188,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,3.25,False,architecture,12.765,8,4096,37,64,64,1,12096,bf16,16,8.4,2.0811,11174,6.57,35.58,2.12,0.009,medium
189,False,False,ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,1.5,False,precision,12.766,8,4096,36,64,64,8,10944,fp8,8,7.84,2.0811,21907,5.72,17.27,1.03,0.035,medium
190,False,False,n_layers: 36 -> 34; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.5,False,precision,12.782,8,4096,34,64,64,8,11520,fp8,8,7.74,2.0814,22668,5.43,16.65,1.01,0.033,medium
191,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,3.75,False,architecture,12.783,8,4096,35,64,64,1,12672,bf16,16,8.28,2.0814,11525,6.26,34.47,2.09,0.009,medium
192,False,False,n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,medium,2.5,False,architecture,12.844,8,4096,36,64,64,1,12096,bf16,16,8.22,2.0825,11481,6.4,34.62,2.08,0.009,medium
193,False,False,n_layers: 36 -> 35; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.25,False,precision,12.852,8,4096,35,64,64,8,10944,fp8,8,7.67,2.0827,22519,5.57,16.79,1.0,0.034,medium
194,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12672,high,4.5,False,architecture,12.874,8,4096,34,64,64,1,12672,bf16,16,8.09,2.0831,11860,6.08,33.48,2.05,0.008,medium
195,False,False,n_layers: 36 -> 37; n_kv_heads: 8 -> 1,high,2.75,False,architecture,12.921,8,4096,37,64,64,1,11520,bf16,16,8.14,2.0839,11453,6.53,34.73,2.06,0.009,medium
196,False,False,n_layers: 36 -> 35; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,3.25,False,architecture,12.929,8,4096,35,64,64,1,12096,bf16,16,8.03,2.0841,11806,6.22,33.66,2.04,0.009,medium
197,False,False,ffn_dim: 11520 -> 10368; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,medium,2.0,False,precision,12.939,8,4096,36,64,64,8,10368,fp8,8,7.58,2.0843,22401,5.7,16.91,1.0,0.035,medium
198,False,False,n_layers: 36 -> 34; ffn_dim: 11520 -> 10944; ffn_precision: bf16 -> fp8; kv_cache_bits: 16 -> 8,high,3.0,False,precision,12.944,8,4096,34,64,64,8,10944,fp8,8,7.49,2.0844,23167,5.41,16.31,0.98,0.033,medium
199,False,False,n_kv_heads: 8 -> 1,medium,2.0,False,architecture,13.001,8,4096,36,64,64,1,11520,bf16,16,7.96,2.0854,11768,6.35,33.79,2.02,0.009,medium
200,False,False,n_layers: 36 -> 34; n_kv_heads: 8 -> 1; ffn_dim: 11520 -> 12096,high,4.0,False,architecture,13.021,8,4096,34,64,64,1,12096,bf16,16,7.85,2.0858,12149,6.04,32.7,1.99,0.008,medium
